time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-02 00:00:00+00:00,27,10,0,0
2026-05-03 00:00:00+00:00,42,12,0,0
2026-05-04 00:00:00+00:00,43,13,0,0
2026-05-05 00:00:00+00:00,51,15,0,0
2026-05-06 00:00:00+00:00,35,14,0,0
2026-05-07 00:00:00+00:00,34,13,0,0
2026-05-08 00:00:00+00:00,18,8,0,0
2026-05-09 00:00:00+00:00,36,12,0,0
2026-05-10 00:00:00+00:00,17,5,0,0
2026-05-11 00:00:00+00:00,5,4,0,0
2026-05-12 00:00:00+00:00,28,9,0,0
2026-05-13 00:00:00+00:00,6,4,0,0
2026-05-14 00:00:00+00:00,19,7,0,0
2026-05-15 00:00:00+00:00,16,8,0,0
